,TIPLOC,TOC_New_x,TOC_New_y
0,ABDO,SR (100.0%),
1,ABDVY,AW (100.0%),
2,ABER,AW (100.0%),
3,ABGLELE,AW (100.0%),AW (57.8%); LS (0.58%); VT (37.57%); ZZ (4.05%)
4,ABHLJN,GR (5.88%); SR (94.12%),CS (0.58%); GR (29.69%); LD (4.07%); SR (41.0%); TP (7.03%); VT (0.72%); WR (0.1%); XC (15.98%); ZZ (0.84%)
5,ABRCYNS,AW (100.0%),AW (100.0%)
6,ABRDEEN,SR (99.7%); XC (0.3%),ZZ (100.0%)
7,ABRE,AW (100.0%),
8,ABRGVNY,AW (100.0%),AW (57.58%); GW (40.4%); ZZ (2.02%)
9,ABRYSTH,AW (100.0%),
10,ABWD,SE (73.25%); TL (26.75%),SE (100.0%)
11,ACBG,LM (100.0%),AW (0.5%); CS (3.16%); LM (9.06%); LS (0.5%); NT (3.08%); VT (82.13%); WR (1.16%); ZZ (0.42%)
12,ACHANLT,SR (100.0%),
13,ACHHSHL,SR (100.0%),
14,ACHILCK,SR (100.0%),
15,ACHNSHN,SR (100.0%),
16,ACKLNGT,NT (100.0%),
17,ACLE,LE (100.0%),LE (100.0%)
18,ACOCKSG,CH (4.69%); LM (95.31%),
19,ACRNGTN,NT (100.0%),NT (100.0%)
20,ACTNCTL,LO (100.0%),LO (33.33%); WR (33.33%); ZZ (33.33%)
21,ACTONML,XR (100.0%),GW (58.63%); HX (21.21%); LS (0.62%); WR (3.74%); XR (13.1%); ZZ (2.7%)
22,ADERLYP,LM (100.0%),AW (18.7%); LM (43.9%); VT (23.58%); XC (13.82%)
23,ADIEWEL,SR (100.0%),
24,ADISHAM,SE (100.0%),SE (100.0%)
25,ADLC,NT (100.0%),NT (35.29%); XC (64.71%)
26,ADLESTN,SW (100.0%),SW (100.0%)
27,ADNL,NT (100.0%),NT (63.16%); TP (36.84%)
28,ADWICK,NT (100.0%),GC (4.95%); GR (84.42%); NT (2.41%); TP (4.51%); XC (3.46%); ZZ (0.25%)
29,AGHTNPH,ME (100.0%),
30,AIGBURT,ME (100.0%),
31,AINSDAL,ME (100.0%),
32,AINTREE,ME (100.0%),
33,AIRBLES,SR (100.0%),CS (43.37%); SR (46.99%); ZZ (9.64%)
34,AIRDRIE,SR (100.0%),CS (100.0%)
35,ALBNHRC,SE (100.0%),
36,ALBNYPK,SE (100.0%),SE (100.0%)
37,ALBRGHT,AW (3.18%); LM (96.82%),AW (100.0%)
38,ALDEDGE,AW (0.37%); NT (99.63%),AW (42.34%); NT (2.81%); VT (49.64%); XC (4.01%); ZZ (1.2%)
39,ALDMSTN,GW (100.0%),GW (100.0%)
40,ALDRSHT,SW (100.0%),SW (88.89%); ZZ (11.11%)
41,ALDTON,SN (100.0%),SN (92.5%); TL (7.5%)
42,ALERTN,AW (11.57%); EM (16.85%); LM (23.79%); NT (47.79%),AW (3.93%); EM (0.98%); LM (1.26%); NT (42.78%); TP (2.45%); VT (48.32%); ZZ (0.28%)
43,ALEXNDP,GN (99.85%); TL (0.15%),CS (0.21%); GC (3.84%); GN (15.8%); GR (33.6%); HT (3.05%); LD (2.92%); TL (40.13%); ZZ (0.46%)
44,ALFRETN,EM (47.69%); NT (52.31%),EM (91.43%); NT (2.86%); ZZ (5.71%)
45,ALLENSW,NT (100.0%),
46,ALNESS,SR (100.0%),
47,ALNMOTH,GR (40.95%); NT (7.24%); TP (19.91%); XC (31.9%),CS (1.86%); GR (65.58%); LD (14.42%); WR (0.16%); XC (17.98%)
48,ALRESFD,LE (100.0%),
49,ALSAGER,EM (41.45%); LM (58.55%),NT (43.68%); VT (37.93%); XC (18.39%)
50,ALSHAM,SE (100.0%),SE (100.0%)
51,ALTHORN,LE (100.0%),
52,ALTNBRC,SR (100.0%),SR (100.0%)
53,ALTPE,NT (88.28%); TP (11.72%),TP (100.0%)
54,ALTRNHM,NT (100.0%),AW (100.0%)
55,ALVCHRC,LM (100.0%),LM (100.0%)
56,ALVCRLP,LM (100.0%),
57,ALXANDR,SR (100.0%),SR (100.0%)
58,ALXPD,SR (100.0%),SR (100.0%)
