,TIPLOC,TOC_New
0,ABCWM,AW (100.0%)
1,ABGLELE,AW (57.8%); LS (0.58%); VT (37.57%); ZZ (4.05%)
2,ABHLJN,CS (0.58%); GR (29.69%); LD (4.07%); SR (41.0%); TP (7.03%); VT (0.72%); WR (0.1%); XC (15.98%); ZZ (0.84%)
3,ABINGTN,CS (5.61%); TP (42.4%); VT (51.85%); WR (0.14%)
4,ABRCYNS,AW (100.0%)
5,ABRD222,CS (3.53%); GR (10.45%); SR (77.82%); XC (5.37%); ZZ (2.82%)
6,ABRD223,CS (3.5%); GR (10.36%); SR (78.43%); XC (5.6%); ZZ (2.1%)
7,ABRD229,CS (3.5%); GR (10.36%); SR (78.43%); XC (5.6%); ZZ (2.1%)
8,ABRD230,CS (3.53%); GR (10.45%); SR (77.82%); XC (5.37%); ZZ (2.82%)
9,ABRD55,CS (3.5%); GR (10.36%); SR (78.43%); XC (5.6%); ZZ (2.1%)
10,ABRD56,CS (3.53%); GR (10.45%); SR (77.82%); XC (5.37%); ZZ (2.82%)
11,ABRDEEN,ZZ (100.0%)
12,ABRDFJN,CS (3.52%); GR (10.41%); SR (78.13%); XC (5.49%); ZZ (2.46%)
13,ABRGS38,AW (94.58%); GW (5.07%); ZZ (0.35%)
14,ABRGVNY,AW (57.58%); GW (40.4%); ZZ (2.02%)
15,ABTH,AW (99.69%); LS (0.31%)
16,ABTH433,AW (100.0%)
17,ABTH440,AW (99.38%); LS (0.62%)
18,ABTSWDJ,GW (22.48%); LS (0.21%); WR (0.11%); XC (76.55%); ZZ (0.64%)
19,ABWD,SE (100.0%)
20,ACBG,AW (0.5%); CS (3.16%); LM (9.06%); LS (0.5%); NT (3.08%); VT (82.13%); WR (1.16%); ZZ (0.42%)
21,ACGJN,AW (26.49%); CS (2.78%); LS (0.44%); NT (21.62%); VT (47.35%); WR (1.02%); ZZ (0.29%)
22,ACHNGRY,CS (13.59%); GR (6.11%); SR (7.37%); TP (33.76%); VT (28.11%); WR (0.23%); XC (10.83%)
23,ACLE,LE (100.0%)
24,ACRNGTN,NT (100.0%)
25,ACTCWHF,LS (7.14%); WR (71.43%); ZZ (21.43%)
26,ACTNCTL,LO (33.33%); WR (33.33%); ZZ (33.33%)
27,ACTONML,GW (58.63%); HX (21.21%); LS (0.62%); WR (3.74%); XR (13.1%); ZZ (2.7%)
28,ACTONW,GW (47.2%); HX (19.68%); LS (0.03%); WR (0.35%); XR (32.24%); ZZ (0.49%)
29,ACWLJN,LO (94.66%); LS (0.17%); WR (2.39%); ZZ (2.79%)
30,ADERLYP,AW (18.7%); LM (43.9%); VT (23.58%); XC (13.82%)
31,ADISHAM,SE (100.0%)
32,ADLC,NT (35.29%); XC (64.71%)
33,ADLESTJ,SW (95.44%); WR (0.48%); ZZ (4.08%)
34,ADLESTN,SW (100.0%)
35,ADNL,NT (63.16%); TP (36.84%)
36,ADSWDRD,AW (9.66%); NT (39.61%); VT (34.54%); WR (0.08%); XC (15.75%); ZZ (0.36%)
37,ADWICK,GC (4.95%); GR (84.42%); NT (2.41%); TP (4.51%); XC (3.46%); ZZ (0.25%)
38,ADWICKJ,GC (3.44%); GR (58.71%); NT (32.13%); TP (3.14%); XC (2.41%); ZZ (0.17%)
39,AIRBLES,CS (43.37%); SR (46.99%); ZZ (9.64%)
40,AIRDRIE,CS (100.0%)
41,AISGILL,NT (97.47%); WR (2.53%)
42,AISHXO,GW (73.78%); WR (0.22%); XC (25.6%); ZZ (0.39%)
43,ALBNYPK,SE (100.0%)
44,ALBRGHT,AW (100.0%)
45,ALDEDGE,AW (42.34%); NT (2.81%); VT (49.64%); XC (4.01%); ZZ (1.2%)
46,ALDMSTN,GW (100.0%)
47,ALDRSHT,SW (88.89%); ZZ (11.11%)
48,ALDRSJN,SW (99.8%); ZZ (0.2%)
49,ALDRSJS,GW (51.61%); SW (47.05%); WR (0.14%); XC (1.19%)
50,ALDTON,SN (92.5%); TL (7.5%)
51,ALDWRKJ,NT (56.49%); TP (20.76%); XC (22.33%); ZZ (0.42%)
52,ALERTN,AW (3.93%); EM (0.98%); LM (1.26%); NT (42.78%); TP (2.45%); VT (48.32%); ZZ (0.28%)
53,ALEXNDP,CS (0.21%); GC (3.84%); GN (15.8%); GR (33.6%); HT (3.05%); LD (2.92%); TL (40.13%); ZZ (0.46%)
54,ALFRETN,EM (91.43%); NT (2.86%); ZZ (5.71%)
55,ALNGEJN,EM (100.0%)
56,ALNGJN,EM (100.0%)
57,ALNGNJN,EM (100.0%)
58,ALNMOTH,CS (1.86%); GR (65.58%); LD (14.42%); WR (0.16%); XC (17.98%)
59,ALRWAS,VT (10.53%); XC (87.13%); ZZ (2.34%)
60,ALSAGER,NT (43.68%); VT (37.93%); XC (18.39%)
61,ALSHAM,SE (100.0%)
62,ALTFTJN,GC (2.61%); GR (0.25%); NT (89.97%); TP (2.41%); WR (0.35%); XC (4.41%)
63,ALTNBRC,SR (100.0%)
64,ALTPE,TP (100.0%)
65,ALTRNHM,AW (100.0%)
66,ALVCHRC,LM (100.0%)
67,ALXANDR,SR (100.0%)
68,ALXPD,SR (100.0%)
69,AMBERGJ,EM (74.97%); NT (0.1%); XC (24.46%); ZZ (0.47%)
70,AMERMWD,CH (100.0%)
71,AMERSHM,CH (100.0%)
72,AMLY,SN (100.0%)
73,AMNGTNJ,CS (1.82%); LM (16.65%); LS (0.22%); VT (73.33%); WR (0.67%); ZZ (7.32%)
74,ANCASTR,EM (100.0%)
75,ANDOVER,SW (40.74%); XC (7.41%); ZZ (51.85%)
76,ANDRSTN,SR (100.0%)
77,ANERLEY,LO (13.78%); SN (23.28%); TL (62.95%)
78,ANGMRNG,SN (94.59%); TL (2.7%); ZZ (2.7%)
79,ANNAN,LS (14.29%); VT (85.71%)
80,ANSL,CS (38.76%); SR (58.14%); WR (3.1%)
81,APBY,LS (50.0%); WR (50.0%)
82,APERLYJ,GR (4.96%); LS (0.05%); NT (94.86%); WR (0.14%)
83,APLHRSJ,NT (100.0%)
84,APPLEFD,GW (100.0%)
85,APSLEY,CS (8.33%); LM (25.42%); SN (0.83%); VT (65.42%)
86,ARBROTH,SR (23.47%); XC (40.82%); ZZ (35.71%)
87,ARDRSSB,SR (100.0%)
88,ARDRSTN,SR (100.0%)
89,ARDWCKJ,AW (6.45%); EM (3.38%); NT (53.5%); TP (20.57%); VT (11.07%); XC (5.01%); ZZ (0.03%)
90,ARDWICK,NT (60.42%); TP (39.58%)
91,ARKLSTJ,SR (99.09%); ZZ (0.91%)
92,ARLSEY,CS (2.22%); GR (81.11%); HT (2.22%); LD (8.89%); TL (3.33%); ZZ (2.22%)
