,TIPLOC,TOC_New
0,ABDO,SR (100.0%)
1,ABDVY,AW (100.0%)
2,ABER,AW (100.0%)
3,ABGLELE,AW (100.0%)
4,ABHLJN,GR (5.88%); SR (94.12%)
5,ABRCYNS,AW (100.0%)
6,ABRDEEN,SR (99.7%); XC (0.3%)
7,ABRE,AW (100.0%)
8,ABRGVNY,AW (100.0%)
9,ABRYSTH,AW (100.0%)
10,ABWD,SE (73.25%); TL (26.75%)
11,ACBG,LM (100.0%)
12,ACHANLT,SR (100.0%)
13,ACHHSHL,SR (100.0%)
14,ACHILCK,SR (100.0%)
15,ACHNSHN,SR (100.0%)
16,ACKLNGT,NT (100.0%)
17,ACLE,LE (100.0%)
18,ACOCKSG,CH (4.69%); LM (95.31%)
19,ACRNGTN,NT (100.0%)
20,ACTNCTL,LO (100.0%)
21,ACTONML,XR (100.0%)
22,ADERLYP,LM (100.0%)
23,ADIEWEL,SR (100.0%)
24,ADISHAM,SE (100.0%)
25,ADLC,NT (100.0%)
26,ADLESTN,SW (100.0%)
27,ADNL,NT (100.0%)
28,ADWICK,NT (100.0%)
29,AGHTNPH,ME (100.0%)
30,AIGBURT,ME (100.0%)
31,AINSDAL,ME (100.0%)
32,AINTREE,ME (100.0%)
33,AIRBLES,SR (100.0%)
34,AIRDRIE,SR (100.0%)
35,ALBNHRC,SE (100.0%)
36,ALBNYPK,SE (100.0%)
37,ALBRGHT,AW (3.18%); LM (96.82%)
38,ALDEDGE,AW (0.37%); NT (99.63%)
39,ALDMSTN,GW (100.0%)
40,ALDRSHT,SW (100.0%)
41,ALDTON,SN (100.0%)
42,ALERTN,AW (11.57%); EM (16.85%); LM (23.79%); NT (47.79%)
43,ALEXNDP,GN (99.85%); TL (0.15%)
44,ALFRETN,EM (47.69%); NT (52.31%)
45,ALLENSW,NT (100.0%)
46,ALNESS,SR (100.0%)
47,ALNMOTH,GR (40.95%); NT (7.24%); TP (19.91%); XC (31.9%)
48,ALRESFD,LE (100.0%)
49,ALSAGER,EM (41.45%); LM (58.55%)
50,ALSHAM,SE (100.0%)
51,ALTHORN,LE (100.0%)
52,ALTNBRC,SR (100.0%)
53,ALTPE,NT (88.28%); TP (11.72%)
54,ALTRNHM,NT (100.0%)
55,ALVCHRC,LM (100.0%)
56,ALVCRLP,LM (100.0%)
57,ALXANDR,SR (100.0%)
58,ALXPD,SR (100.0%)
59,AMBERGT,EM (100.0%)
60,AMERSHM,CH (100.0%)
61,AMLY,SN (100.0%)
62,AMMANFD,AW (100.0%)
63,ANCASTR,EM (100.0%)
64,ANDOVER,SW (100.0%)
65,ANERLEY,LO (68.12%); SN (31.88%)
66,ANGMRNG,SN (98.94%); TL (1.06%)
67,ANNAN,LS (0.93%); SR (99.07%)
68,ANSDELL,NT (100.0%)
69,ANSL,SR (100.0%)
70,APBY,NT (100.0%)
71,APDR,SN (100.0%)
72,APERLYB,NT (100.0%)
73,APLYBDG,NT (100.0%)
74,APPLEFD,GW (100.0%)
75,APSLEY,LM (100.0%)
76,ARBROTH,CS (5.69%); GR (16.86%); SR (72.89%); XC (4.56%)
77,ARCHRAT,CS (25.77%); SR (74.23%)
78,ARDGAY,SR (100.0%)
79,ARDLUI,CS (25.25%); SR (72.73%); WR (2.02%)
80,ARDRSSB,SR (100.0%)
81,ARDRSTN,SR (100.0%)
82,ARDWICK,NT (100.0%)
83,ARGYLST,SR (100.0%)
84,ARISAIG,SR (100.0%)
85,ARLSEY,GN (0.35%); TL (99.65%)
86,ARMDALE,SR (100.0%)
87,ARMTHWT,NT (100.0%)
88,ARNSIDE,NT (100.0%)
89,ARRAM,NT (100.0%)
90,ARUNDEL,SN (100.0%)
91,ASCOT,SW (100.0%)
92,ASCTUWD,GW (100.0%)
93,ASFDMSX,SW (100.0%)
94,ASFIELD,SR (100.0%)
95,ASHBRYS,NT (100.0%)
96,ASHCHRC,GW (70.4%); XC (29.6%)
97,ASHD,SN (48.3%); SW (51.7%)
98,ASHFKY,SE (99.53%); ZZ (0.47%)
99,ASHH,GW (40.35%); SW (59.65%)
100,ASHLEY,NT (100.0%)
