,TOC,TIPLOC,User/Pass,count
0,AW,ABCWM,Passing Point,924
1,AW,ABDVY,User,330
2,AW,ABER,User,1613
3,AW,ABGLELE,Passing Point,400
4,AW,ABGLELE,User,873
5,AW,ABRCYNS,Passing Point,55
6,AW,ABRCYNS,User,2126
7,AW,ABRE,User,298
8,AW,ABRGS38,Passing Point,541
9,AW,ABRGVNY,Passing Point,57
10,AW,ABRGVNY,User,1011
11,AW,ABRYSTH,User,15
12,AW,ABTH,Passing Point,638
13,AW,ABTH433,Passing Point,316
14,AW,ABTH440,Passing Point,322
15,AW,ACBG,Passing Point,12
16,AW,ACGJN,Passing Point,724
17,AW,ADERLYP,Passing Point,23
18,AW,ADSWDRD,Passing Point,460
19,AW,ALBRGHT,Passing Point,11
20,AW,ALBRGHT,User,25
21,AW,ALDEDGE,Passing Point,528
22,AW,ALDEDGE,User,4
23,AW,ALERTN,Passing Point,56
24,AW,ALERTN,User,320
25,AW,ALTRNHM,Passing Point,46
26,AW,AMMANFD,User,172
27,AW,ARDWCKJ,Passing Point,1081
28,AW,ASTLEY,Passing Point,724
29,AW,ASTON,Passing Point,31
30,AW,AWRE,Passing Point,482
31,AW,BAGE,Passing Point,33
32,AW,BANGOR,Passing Point,6
33,AW,BANGOR,User,716
34,AW,BARGOED,User,685
35,AW,BARRY,Passing Point,49
36,AW,BARRY,User,2322
37,AW,BARRYDK,User,2325
38,AW,BCHGRV,User,979
39,AW,BCKY,User,537
40,AW,BDSTON,User,1
41,AW,BESTTSB,Passing Point,1341
42,AW,BETSYCD,User,228
43,AW,BGLAN,User,329
44,AW,BHAMINT,User,12
45,AW,BHAMNWS,User,641
46,AW,BILBROK,Passing Point,11
47,AW,BILBROK,User,25
48,AW,BKNELL,User,158
49,AW,BLAENAU,User,1
50,AW,BNWDJN,Passing Point,392
51,AW,BODORGN,User,359
52,AW,BORTH,User,641
53,AW,BOWSTRT,User,641
54,AW,BRFLD,Passing Point,1005
55,AW,BRGEND,Passing Point,55
56,AW,BRGEND,User,1404
57,AW,BRITFRY,User,329
58,AW,BRITFWJ,Passing Point,39
59,AW,BRITHDR,User,685
60,AW,BRMOUTH,User,298
61,AW,BROOME,User,158
62,AW,BSCTSTA,Passing Point,31
63,AW,BUILTHR,User,144
64,AW,BYNEA,User,172
65,AW,CADOXTN,Passing Point,52
66,AW,CADOXTN,User,2325
67,AW,CAERGWL,User,537
68,AW,CANT637,Passing Point,20
69,AW,CARDFQS,Passing Point,97
70,AW,CARDFQS,User,6039
71,AW,CARSWS,User,489
72,AW,CATHAYS,User,3225
73,AW,CBAY,Passing Point,72
74,AW,CBAY,User,1193
75,AW,CDCOT,User,459
76,AW,CEFNYBD,User,537
77,AW,CHDH,Passing Point,460
78,AW,CHELFD,Passing Point,25
79,AW,CHEPSTW,Passing Point,27
80,AW,CHEPSTW,User,459
81,AW,CHIRK,User,694
82,AW,CHLTNHM,Passing Point,14
83,AW,CHLTNHM,User,3
84,AW,CHST,Passing Point,66
85,AW,CHST,User,1342
86,AW,CHSTRNJ,Passing Point,3
87,AW,CHSTRSJ,Passing Point,2508
88,AW,CILMERY,User,144
89,AW,CLARBRD,Passing Point,4
90,AW,CLARBRD,User,570
91,AW,CLYNDRW,User,480
92,AW,CMBH,User,1038
93,AW,CMTHN,User,606
94,AW,CMTHNBG,Passing Point,717
95,AW,CMTHNJ,Passing Point,1001
96,AW,COCKETW,Passing Point,644
97,AW,CODSALL,Passing Point,11
98,AW,CODSALL,User,25
99,AW,COGAN,User,2325
100,AW,COGANJ,Passing Point,4253
101,AW,CONWY,User,430
102,AW,COSELEY,Passing Point,24
103,AW,COSFORD,Passing Point,649
104,AW,COSFORD,User,25
105,AW,CRAVENA,Passing Point,266
106,AW,CRAVENA,User,920
107,AW,CRDFCEN,Passing Point,70
108,AW,CRDFCEN,User,5334
109,AW,CRDFRBJ,Passing Point,1236
110,AW,CREWE,Passing Point,30
111,AW,CREWE,User,510
112,AW,CREWECY,Passing Point,12
113,AW,CREWEGL,Passing Point,748
114,AW,CREWESW,Passing Point,1341
115,AW,CREWSBG,Passing Point,530
116,AW,CREWUML,Passing Point,14
117,AW,CRICCTH,User,298
118,AW,CROESNF,Passing Point,14
119,AW,CRPHLY,Passing Point,45
120,AW,CRPHLY,User,1595
121,AW,CRSKEYS,Passing Point,30
122,AW,CRSKEYS,User,619
123,AW,CRSKYJN,Passing Point,564
124,AW,CSTR,Passing Point,8
125,AW,CSTR,User,918
126,AW,CTSARTJ,Passing Point,39
